"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37204.673230783446,10079.0
37062.27204895497,15118.0
36639.668816447665,20157.0
36909.988226170666,25196.0
36726.240375563364,30235.0
37279.04533601801,35274.0
37152.60257878073,40313.0
36979.543114220774,45352.0
36906.87745389765,50391.0
37570.47067599818,55430.0
37029.354414020076,60469.0
36985.9076129852,65508.0
37030.02435287644,70547.0
37392.06194236819,75586.0
37203.19118439186,80625.0
36808.39562902777,85664.0
36866.01512459463,90703.0
37091.76423137511,95742.0
37157.9262877438,100781.0
37167.59335972178,105820.0
37552.55274100392,110859.0
37090.97498644032,115898.0
36973.37196870839,120937.0
36942.91864151693,125976.0
36913.99713645225,131015.0
37301.98395567607,136054.0
37073.491062855865,141093.0
36562.28916277978,146132.0
36918.160908079946,151171.0
37012.53877721416,156210.0
37077.513165154,161249.0
37195.69768288333,166288.0
37000.36157015246,171327.0
37045.02993954098,176366.0
