"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37888.162152465185,10079.0
37769.361876222334,15118.0
37761.966928103095,20157.0
38155.336328519355,25196.0
38026.24229911909,30235.0
37938.815338180924,35274.0
37790.508436221906,40313.0
37540.42702373323,45352.0
37981.15380925307,50391.0
38342.816939779135,55430.0
38018.088689314725,60469.0
37821.53634739184,65508.0
37877.29538838589,70547.0
37379.33520479276,75586.0
37435.39755553846,80625.0
37730.535701187866,85664.0
38187.4101267462,90703.0
37692.1673137694,95742.0
37734.09206846725,100781.0
37707.57631915556,105820.0
37615.61415024367,110859.0
37710.26425394912,115898.0
37920.8072766102,120937.0
37992.8322052285,125976.0
37963.54236876617,131015.0
37367.4284187358,136054.0
38023.117373320645,141093.0
37340.757356535476,146132.0
37460.32399652471,151171.0
37740.73695168603,156210.0
37740.91834295643,161249.0
37797.59807025756,166288.0
38126.79925547474,171327.0
37651.37412626532,176366.0
