"Park Revenue","tick"
0.0,1.0
0.0,5040.0
38521.60604799425,10079.0
37464.21779192203,15118.0
23328.020935800407,20157.0
17871.659453484262,25196.0
18581.854576693084,30235.0
18536.349384446705,35274.0
18411.48473582535,40313.0
18506.870746789344,45352.0
18579.655373187805,50391.0
18665.430224284562,55430.0
18620.99308222307,60469.0
17522.117190201294,65508.0
19640.341182651435,70547.0
22033.41464175303,75586.0
23511.23212492933,80625.0
23732.674736909372,85664.0
23719.57617216579,90703.0
23911.30002295717,95742.0
23832.138960762964,100781.0
23806.02897398048,105820.0
23967.474917417232,110859.0
23851.220205329282,115898.0
23920.614454578943,120937.0
23810.11924457234,125976.0
24113.47622367499,131015.0
23634.421811606822,136054.0
24150.090678913533,141093.0
23457.498313332675,146132.0
24491.787250053458,151171.0
26005.88202249686,156210.0
26570.376316276903,161249.0
26684.824196288613,166288.0
26483.380409021564,171327.0
26656.828487848652,176366.0
