"Park Revenue","tick"
0.0,1.0
0.0,5040.0
27894.00446023819,10079.0
27594.094294909897,15118.0
27601.691154548087,20157.0
27457.401461334048,25196.0
27028.12611780767,30235.0
27293.820143309757,35274.0
26902.388453067902,40313.0
26735.497663549137,45352.0
26976.861479387295,50391.0
26658.3852356484,55430.0
26880.213336786626,60469.0
27081.762256067545,65508.0
26524.666097930025,70547.0
25811.300724782443,75586.0
26136.795500764583,80625.0
26180.164209682905,85664.0
26131.260360375145,90703.0
26218.264659534583,95742.0
26130.528088806514,100781.0
26233.916447987012,105820.0
25935.30124091357,110859.0
25970.959831354317,115898.0
25796.31811036661,120937.0
25336.022526257173,125976.0
25807.54309377438,131015.0
26278.037274830393,136054.0
26257.64456777929,141093.0
26045.112978821824,146132.0
25486.727889027406,151171.0
25568.83343345436,156210.0
25397.280640500914,161249.0
25495.772222035575,166288.0
25279.95433786928,171327.0
24928.19010317719,176366.0
