"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37148.58834006738,10079.0
37027.441990018204,15118.0
37224.88158763709,20157.0
37041.56684439836,25196.0
36978.92112746235,30235.0
36955.722530214734,35274.0
37338.675693578785,40313.0
36791.988198089595,45352.0
37461.07145591839,50391.0
37121.50480821236,55430.0
37112.21883991507,60469.0
37273.26853918454,65508.0
37077.809156385716,70547.0
36487.08361543042,75586.0
36896.48070544192,80625.0
37186.47504103872,85664.0
36604.268075690896,90703.0
37518.81348159005,95742.0
37039.42701811887,100781.0
36786.555716226365,105820.0
36554.08776202763,110859.0
37141.302207002846,115898.0
37155.73010573287,120937.0
37076.597694017044,125976.0
36619.545172872364,131015.0
37334.79747274082,136054.0
37305.77142628136,141093.0
37127.47342372837,146132.0
37276.39392890884,151171.0
37071.999570711916,156210.0
36826.13649586831,161249.0
37205.54102797951,166288.0
36891.7762958049,171327.0
37021.31047339756,176366.0
