"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37416.7335894743,10079.0
37428.38496566453,15118.0
37715.64667683526,20157.0
37769.93174844479,25196.0
37377.43216251485,30235.0
37417.75424209716,35274.0
37767.41801331205,40313.0
37588.019100426325,45352.0
37274.44694185913,50391.0
37882.705539024115,55430.0
37700.70756459515,60469.0
37438.87059021432,65508.0
38136.33692338144,70547.0
38041.1337165453,75586.0
37427.53811999252,80625.0
37784.544065108465,85664.0
38208.90172386931,90703.0
37811.83169334656,95742.0
37598.092380861395,100781.0
37718.03623070349,105820.0
37646.81047380698,110859.0
37443.126340284114,115898.0
38189.94062237816,120937.0
38248.83155722268,125976.0
37842.57885776565,131015.0
37789.83430541618,136054.0
37113.18323687797,141093.0
37577.58933832029,146132.0
37779.53241669675,151171.0
37668.77598755469,156210.0
37803.518362298244,161249.0
37620.75388644548,166288.0
37724.806198162994,171327.0
37788.72494586223,176366.0
