"Park Revenue","tick"
0.0,1.0
0.0,5040.0
74089.48782848976,10079.0
74002.00914669648,15118.0
74412.63060047575,20157.0
74355.01901446031,25196.0
74174.19568482848,30235.0
74800.92434643753,35274.0
74004.53624879918,40313.0
73877.57788786093,45352.0
73939.04499773517,50391.0
74437.76718684474,55430.0
73881.19571060556,60469.0
74161.10171720364,65508.0
73964.5538618211,70547.0
74369.87340922933,75586.0
74730.76158066039,80625.0
74005.82992694862,85664.0
74493.2040665803,90703.0
74052.54288653706,95742.0
74951.63743681522,100781.0
74976.93285085291,105820.0
74764.73968548921,110859.0
74435.05942845353,115898.0
74213.60523849179,120937.0
74029.71633626705,125976.0
75174.01204514962,131015.0
74018.46845408042,136054.0
74355.84587818221,141093.0
74433.01643732817,146132.0
74670.90402685961,151171.0
74435.38317543411,156210.0
74197.39091952845,161249.0
74439.96069343395,166288.0
74368.37985026267,171327.0
73601.3820194643,176366.0
