"Park Revenue","tick"
0.0,1.0
0.0,5040.0
79411.45325594985,10079.0
79326.32244573697,15118.0
45624.73694150797,20157.0
37160.856221319606,25196.0
39020.18202654914,30235.0
38849.23497274062,35274.0
38672.884681303345,40313.0
38885.88856022486,45352.0
38775.03980543507,50391.0
38861.74668722485,55430.0
38824.61136032047,60469.0
38096.98880272406,65508.0
38093.35300430801,70547.0
39268.64979681885,75586.0
41819.16161793177,80625.0
42408.04356546094,85664.0
42513.017015113575,90703.0
42875.3851006366,95742.0
42536.52713224835,100781.0
42904.25784258682,105820.0
42571.58285266975,110859.0
42579.877525293094,115898.0
42555.69780897142,120937.0
42597.75718537036,125976.0
42729.38798925371,131015.0
42486.162149452706,136054.0
41930.497025587356,141093.0
43857.133960285035,146132.0
46197.90231075599,151171.0
46420.40119053527,156210.0
46703.89789218576,161249.0
46641.57204242812,166288.0
46450.62516394113,171327.0
46873.463652926934,176366.0
