"Utility","tick"
1936092.4458751264,270.0
1970577.5197032655,990.0
1869668.8441470885,1710.0
1870627.8613299571,2430.0
1912112.8589524175,3150.0
1595051.9132702316,3870.0
1573728.7820230334,4590.0
1975548.6931673572,5310.0
1901402.4703019029,6030.0
1930943.5882206485,6750.0
1881891.0041820412,7470.0
1976103.6037543647,8190.0
1565082.6877123662,8910.0
1549431.9306440223,9630.0
1923924.7892500225,10350.0
1912557.8621977319,11070.0
1915635.41597524,11790.0
1848464.2855906799,12510.0
1899278.4826563015,13230.0
1592410.6357763894,13950.0
1576245.082809261,14670.0
1893422.3097938022,15390.0
1898499.6226652712,16110.0
1931632.0750867105,16830.0
1884297.169117982,17550.0
1920861.982005522,18270.0
1583110.5359611113,18990.0
1579302.9663985388,19710.0
1923451.8667907426,20430.0
1913315.8540109128,21150.0
1951187.4939524462,21870.0
1938004.171442478,22590.0
1940444.137299545,23310.0
1593310.2233558742,24030.0
1578553.2060483987,24750.0
1880975.2936355525,25470.0
1931442.2168284042,26190.0
1883426.4915527862,26910.0
1856521.5987557315,27630.0
1896209.4908158653,28350.0
1615960.6935109578,29070.0
1576312.5351888596,29790.0
1923462.2633431028,30510.0
1940202.544654542,31230.0
1916456.1849781626,31950.0
1883931.780891979,32670.0
1934929.8180063532,33390.0
1581130.381477668,34110.0
1587737.6055584876,34830.0
1934314.304661348,35550.0
1890001.0486603433,36270.0
1920927.2335218799,36990.0
1923621.8879364273,37710.0
1849121.1493264523,38430.0
1598630.9022906835,39150.0
1624910.6169881711,39870.0
1861248.0108714404,40590.0
1896497.9868876613,41310.0
1909953.027542552,42030.0
1849529.7799375218,42750.0
1929132.1149677397,43470.0
1612377.8914050085,44190.0
1585160.7948475366,44910.0
1818681.2604461869,45630.0
1890944.8122407796,46350.0
1902310.9171371965,47070.0
1842048.4074439015,47790.0
1918982.7634375233,48510.0
1553508.0046733322,49230.0
1622265.7761092486,49950.0
1954317.017407485,50670.0
1947209.2849800244,51390.0
1946124.060473359,52110.0
1927653.9206826286,52830.0
1942573.0868516455,53550.0
1596230.8089058737,54270.0
1542254.5545460335,54990.0
1901072.4374249938,55710.0
1955599.8390679017,56430.0
1917009.7291108929,57150.0
1957666.543640341,57870.0
1902340.8689274695,58590.0
1604232.7310332698,59310.0
1614754.9786097268,60030.0
1917299.8945487652,60750.0
1880130.8684040413,61470.0
1885022.523560905,62190.0
1950862.6453584658,62910.0
1887328.9009231755,63630.0
1594724.6514816456,64350.0
1583151.4876649745,65070.0
1887859.724438022,65790.0
1874566.0804673452,66510.0
1904944.4911667248,67230.0
1940960.8807813332,67950.0
1986520.7563007816,68670.0
1617542.5180256485,69390.0
1606614.000544801,70110.0
1920023.7668539525,70830.0
1915795.3950516146,71550.0
1919409.9144714854,72270.0
1888826.8041169434,72990.0
1897753.4255878336,73710.0
1596850.1004303813,74430.0
1555573.808209876,75150.0
1873563.5924019497,75870.0
1939409.8804662044,76590.0
1877131.7205455767,77310.0
1957757.3275449218,78030.0
1852338.6604739975,78750.0
1594855.0242116833,79470.0
1551815.0809995942,80190.0
1929395.3589228678,80910.0
1857521.4485939422,81630.0
1924005.5233112762,82350.0
1880779.0390778338,83070.0
1946832.9086004996,83790.0
1568016.2819533076,84510.0
1586845.629683794,85230.0
1865202.4833880095,85950.0
1905288.1959792434,86670.0
1883819.23325172,87390.0
1903813.1233759946,88110.0
1929335.4733719786,88830.0
1605307.5739558274,89550.0
1598470.1809419696,90270.0
1833902.924162169,90990.0
1931396.6438101993,91710.0
1917216.893652764,92430.0
1919451.0118881087,93150.0
1911434.196544214,93870.0
1573447.6161470118,94590.0
1551728.2216901975,95310.0
1941143.0333186928,96030.0
1917259.2577829435,96750.0
1929768.2818144278,97470.0
1876300.7017680116,98190.0
1897761.668473042,98910.0
1586235.4999104314,99630.0
1580116.9072670022,100350.0
1896164.6131666647,101070.0
1896055.0354231899,101790.0
1911123.226814769,102510.0
1881104.2084836666,103230.0
1925513.9671940536,103950.0
1596500.4484624916,104670.0
1570646.1076257597,105390.0
1924133.3948608036,106110.0
1903898.0773360499,106830.0
1954184.784288571,107550.0
1890776.7884664142,108270.0
1879262.9705776172,108990.0
1611948.5656898974,109710.0
1571798.2453413282,110430.0
1842442.0741958558,111150.0
1914290.451388949,111870.0
1977772.0883491097,112590.0
1877634.976353941,113310.0
1924228.833716872,114030.0
1592463.9593273448,114750.0
1609027.6266944516,115470.0
1881394.0833197436,116190.0
1932558.1969909414,116910.0
1898054.0031270888,117630.0
1933760.3887034007,118350.0
1917866.4600825056,119070.0
1567148.7843722869,119790.0
1563914.9259968838,120510.0
1931267.4341186108,121230.0
1925400.5638326276,121950.0
1940358.0920542316,122670.0
1921566.9301870184,123390.0
1932702.3177268587,124110.0
1597765.928346769,124830.0
1579908.6145063175,125550.0
1923662.7029774697,126270.0
1867423.8836419545,126990.0
1904616.8724360254,127710.0
1870315.2663223925,128430.0
1949277.0154381567,129150.0
1613120.6453965346,129870.0
1622871.7272552454,130590.0
1945345.8224718522,131310.0
1879545.4122307133,132030.0
1908229.2024135604,132750.0
1894563.1830535913,133470.0
1930198.5812869943,134190.0
1586409.0378052143,134910.0
1614125.2058382093,135630.0
1949643.019389525,136350.0
1929892.8462935688,137070.0
1966186.545895594,137790.0
1934463.7583847041,138510.0
1917549.4619061186,139230.0
1600104.6992011408,139950.0
1611176.098930487,140670.0
1964387.4201310212,141390.0
1960169.5870982483,142110.0
1931901.587420658,142830.0
1950368.1974988298,143550.0
1984819.8779401837,144270.0
1546388.6707937114,144990.0
1610566.7937154968,145710.0
1954149.0525080352,146430.0
1903605.8714474016,147150.0
1874760.3274627894,147870.0
1940117.7516065082,148590.0
1936366.9227555324,149310.0
1556863.0971734729,150030.0
1589730.157428908,150750.0
1902245.8074930403,151470.0
1928317.9227059162,152190.0
1900404.163392998,152910.0
1914088.6997096662,153630.0
1898895.0109525525,154350.0
1571719.6499967915,155070.0
1603877.6265020752,155790.0
1894725.527460868,156510.0
1962185.774954582,157230.0
1902375.8619816885,157950.0
1924894.940910687,158670.0
1858907.6452358165,159390.0
1535336.6270966837,160110.0
1621080.4067354735,160830.0
