"Park Revenue","tick"
0.0,1.0
0.0,5040.0
38983.621956194605,10079.0
38104.100301784354,15118.0
17105.06221039442,20157.0
18850.383052406356,25196.0
19389.446500483442,30235.0
19313.66588748849,35274.0
19433.59161460871,40313.0
19436.260498091582,45352.0
19314.18154866651,50391.0
19198.046263885448,55430.0
19020.61370553169,60469.0
17896.651368740902,65508.0
19297.920819148425,70547.0
20140.862183047037,75586.0
21403.285378584573,80625.0
21856.392106307034,85664.0
22065.870595343513,90703.0
21511.325795594166,95742.0
21535.99319902149,100781.0
21476.342564402967,105820.0
21491.076090028644,110859.0
21503.593799914852,115898.0
21610.750384015366,120937.0
21435.897633241995,125976.0
21596.768574687223,131015.0
21421.677519789937,136054.0
21439.220636794857,141093.0
21096.859793320535,146132.0
21429.46861301144,151171.0
21819.80632357264,156210.0
21919.730942319085,161249.0
21618.237990170444,166288.0
21766.133305980347,171327.0
21720.770014078487,176366.0
