"Park Revenue","tick"
0.0,1.0
0.0,5040.0
27529.180772863412,10079.0
27734.93779408291,15118.0
27674.36074006883,20157.0
27455.95736371019,25196.0
27735.643965361236,30235.0
27801.355417302413,35274.0
27752.063418349415,40313.0
27366.950697611886,45352.0
27302.551394213326,50391.0
27264.76831825217,55430.0
27545.08051400348,60469.0
27048.030273948254,65508.0
27236.248769601254,70547.0
27410.401441982765,75586.0
27496.693299452152,80625.0
27508.20429486457,85664.0
27652.48432054794,90703.0
27427.14450378022,95742.0
27594.777045539024,100781.0
27647.666187431674,105820.0
27632.4575559515,110859.0
27498.476734447224,115898.0
27708.89745155451,120937.0
27437.673843624794,125976.0
28149.83857611537,131015.0
27218.434183598227,136054.0
26925.96912540394,141093.0
26820.34923405682,146132.0
26339.19355914784,151171.0
26427.47175254935,156210.0
26505.844025904542,161249.0
26638.433372984073,166288.0
26231.638938516608,171327.0
26619.4328691731,176366.0
