"Utility","tick"
1888337.6258584978,270.0
1957432.2593015083,990.0
1857811.094932784,1710.0
1924748.0911465427,2430.0
1950790.4355106433,3150.0
1570585.7334027942,3870.0
1613839.1319097292,4590.0
1914389.6581968116,5310.0
1924866.3333415156,6030.0
1904519.5627591598,6750.0
1991176.7136194636,7470.0
1918619.6813891914,8190.0
1598917.3658345055,8910.0
1558489.1265657737,9630.0
1871901.4749479215,10350.0
1906728.3919381339,11070.0
1943136.3824443927,11790.0
1959738.4428767185,12510.0
1873636.7645366262,13230.0
1584819.8796760775,13950.0
1573520.257458274,14670.0
1904762.9423283038,15390.0
1906226.1862331175,16110.0
1906098.1193088223,16830.0
1874382.1983069195,17550.0
1909908.7967204845,18270.0
1591185.8047023509,18990.0
1642414.3831430483,19710.0
1935066.0095390982,20430.0
1967942.366159064,21150.0
1896932.3588985626,21870.0
1909488.2937492102,22590.0
1869165.8287148497,23310.0
1579348.6644321748,24030.0
1630928.5056739738,24750.0
1944772.6989881762,25470.0
1881601.6958670202,26190.0
1935384.14094342,26910.0
1863077.633812421,27630.0
1885663.837636387,28350.0
1610988.7557165145,29070.0
1572654.047095144,29790.0
1930141.336563594,30510.0
1964093.0755770246,31230.0
1983042.512705304,31950.0
1873162.090053629,32670.0
1996493.5930752594,33390.0
1584431.0286228622,34110.0
1584594.3094023976,34830.0
1833531.508628841,35550.0
1947676.4068314652,36270.0
1888203.2852601141,36990.0
1909715.6499179422,37710.0
1879111.556365571,38430.0
1579959.9779266715,39150.0
1625807.7359248702,39870.0
1918617.2819018757,40590.0
1894834.7771422921,41310.0
1919585.9483482102,42030.0
1894427.956806556,42750.0
1877706.2950846993,43470.0
1585002.906958142,44190.0
1592936.9985179724,44910.0
1893587.9284501912,45630.0
1942891.3139503647,46350.0
1957953.373683874,47070.0
1908843.5836738462,47790.0
1889976.846452537,48510.0
1611149.0428118007,49230.0
1596609.3894662636,49950.0
1834534.3684247069,50670.0
1927916.439809328,51390.0
1884952.5650472317,52110.0
1883002.616211478,52830.0
1883380.8506923844,53550.0
1605717.3120800909,54270.0
1586579.1699493849,54990.0
1963823.6472927046,55710.0
1909031.4653203832,56430.0
1774310.223210184,57150.0
1937646.6297883005,57870.0
1951281.0521833734,58590.0
1618621.43099456,59310.0
1599536.931844076,60030.0
1980685.9654134663,60750.0
1945404.4491860121,61470.0
1890967.5683021573,62190.0
1942378.4546718271,62910.0
1924380.390348159,63630.0
1564219.5079518144,64350.0
1611193.7318167358,65070.0
1979169.8534665059,65790.0
1860261.1410501152,66510.0
1874962.4461447047,67230.0
1934774.8038677496,67950.0
1968333.5322109577,68670.0
1583262.3510548938,69390.0
1543762.4168217913,70110.0
1933964.9526403842,70830.0
1892303.2355831065,71550.0
1893846.7306966223,72270.0
1902719.9852508474,72990.0
1913461.870509261,73710.0
1616441.2166859005,74430.0
1580439.519825958,75150.0
1955575.2885938934,75870.0
1935173.3921791066,76590.0
1928198.3828138546,77310.0
1884568.4835579263,78030.0
1886838.1645643436,78750.0
1576928.920682637,79470.0
1575660.4457899777,80190.0
1890997.934527673,80910.0
1872760.258976114,81630.0
1935518.405562807,82350.0
1930415.4890627596,83070.0
1894116.6659212848,83790.0
1576726.380678239,84510.0
1606617.1634823277,85230.0
1924161.7562716359,85950.0
1932931.5327971962,86670.0
1914564.8716141363,87390.0
1853035.039940659,88110.0
1920752.5369091993,88830.0
