"Park Revenue","tick"
0.0,1.0
0.0,5040.0
27441.669447549135,10079.0
27611.42185106016,15118.0
27513.602495546726,20157.0
27788.642020708907,25196.0
27810.000773823638,30235.0
27850.42767506605,35274.0
27997.881948950933,40313.0
27825.677061892668,45352.0
28052.413314304224,50391.0
27829.78617485335,55430.0
27426.474698294223,60469.0
28020.17262259636,65508.0
28541.06941235179,70547.0
28049.540048244486,75586.0
27545.282813343467,80625.0
27269.49076657783,85664.0
26789.134966173846,90703.0
26875.169681131196,95742.0
27043.879594683516,100781.0
27227.41317800422,105820.0
27340.286506892706,110859.0
26779.276375025158,115898.0
26664.656638236196,120937.0
26561.180567415533,125976.0
26531.405961625962,131015.0
26815.78378042997,136054.0
26213.613905920196,141093.0
26181.324854624178,146132.0
25809.3367657252,151171.0
26221.51438110933,156210.0
26364.597563010502,161249.0
26381.55120063551,166288.0
26385.94136241562,171327.0
26656.748846037914,176366.0
