"Park Revenue","tick"
0.0,1.0
0.0,5040.0
27623.59646857543,10079.0
27461.13057989527,15118.0
27818.626036026086,20157.0
27892.25427343525,25196.0
27685.72626325578,30235.0
27525.913409439883,35274.0
27399.34003278047,40313.0
27703.513287069134,45352.0
27435.83805279987,50391.0
27519.237145039362,55430.0
27792.466952463812,60469.0
28109.213947923974,65508.0
27189.73462692867,70547.0
26835.557270694513,75586.0
25846.053430667787,80625.0
25970.141592232456,85664.0
25992.71243885686,90703.0
25880.659908676967,95742.0
26018.096309567914,100781.0
25769.53432020826,105820.0
25932.924510164114,110859.0
25708.88332971612,115898.0
25730.971666344572,120937.0
25885.373611644056,125976.0
26082.095043853216,131015.0
25671.87580066658,136054.0
26268.21014673524,141093.0
27178.742049898654,146132.0
27499.384082959954,151171.0
26620.979110469565,156210.0
26944.720322194666,161249.0
26708.728097100586,166288.0
26433.579019314835,171327.0
27110.945765094457,176366.0
