"Park Revenue","tick"
0.0,1.0
0.0,5040.0
56502.1610409469,10079.0
56676.54057492767,15118.0
56235.109977196465,20157.0
56908.56302625944,25196.0
56640.26158430887,30235.0
57031.83801312779,35274.0
57033.89139701466,40313.0
56613.70186826694,45352.0
56789.33450095641,50391.0
56103.61942343146,55430.0
56115.169233587316,60469.0
55963.14035216992,65508.0
55124.78003897927,70547.0
55214.36867735139,75586.0
53727.84894706701,80625.0
53869.01275466589,85664.0
53272.54797578234,90703.0
53077.79397596054,95742.0
52885.736181935245,100781.0
53186.15377722671,105820.0
53297.301917365796,110859.0
53647.85012322367,115898.0
53511.77186671071,120937.0
53285.968122779464,125976.0
53176.20648489187,131015.0
53323.71029280677,136054.0
52715.499049975486,141093.0
53191.57512388908,146132.0
52337.63759803672,151171.0
52884.476185392705,156210.0
53400.531381869085,161249.0
53104.06299355381,166288.0
52897.10048794972,171327.0
52841.685207723865,176366.0
