"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37196.33995993028,10079.0
36894.66040610773,15118.0
37393.13595244319,20157.0
36739.492649243424,25196.0
36750.891604873446,30235.0
36491.740733779574,35274.0
36960.166720987654,40313.0
36929.38323884885,45352.0
37221.731725954334,50391.0
37147.84547256356,55430.0
36860.085817086816,60469.0
37080.37778638908,65508.0
37030.521971723116,70547.0
36848.67129562677,75586.0
36868.74744634697,80625.0
37166.01992459704,85664.0
37048.614120850034,90703.0
37287.54316190386,95742.0
36911.26181643717,100781.0
36876.105264371334,105820.0
37146.62164786837,110859.0
37020.28003201808,115898.0
36997.12212060181,120937.0
36973.89194567617,125976.0
37291.87632713397,131015.0
36708.955560941875,136054.0
36969.9896272914,141093.0
36899.9248085945,146132.0
37449.36905018588,151171.0
36732.45650833158,156210.0
37485.37699974557,161249.0
37052.28517077617,166288.0
37261.972579644455,171327.0
36803.73201066909,176366.0
