"Park Revenue","tick"
0.0,1.0
0.0,5040.0
27792.287115038722,10079.0
27922.819946821786,15118.0
27462.669836710902,20157.0
27088.24750178628,25196.0
27463.10359076269,30235.0
27539.985488369817,35274.0
27208.401512672073,40313.0
27071.749908048183,45352.0
27215.739063441768,50391.0
26790.861047303973,55430.0
27016.32016805204,60469.0
25892.102548229457,65508.0
25837.437394444198,70547.0
26690.527917876552,75586.0
26019.224304132626,80625.0
26012.43170904607,85664.0
25950.511344664035,90703.0
25994.677367331347,95742.0
26182.103614128235,100781.0
26513.668501640794,105820.0
26571.481319014754,110859.0
26682.06430185247,115898.0
26520.835294728662,120937.0
26489.45811666077,125976.0
26168.69780757522,131015.0
26626.232322502354,136054.0
25210.18558244508,141093.0
26713.393975409825,146132.0
27723.15078946791,151171.0
28566.02450827929,156210.0
28747.765570656145,161249.0
28069.761842057676,166288.0
28372.892597430524,171327.0
28167.444923657094,176366.0
