"Park Revenue","tick"
0.0,1.0
0.0,5040.0
27662.663320539257,10079.0
27393.2359734714,15118.0
27523.521221271316,20157.0
27008.58716512297,25196.0
27484.66319334698,30235.0
27057.202061338754,35274.0
27372.8518997246,40313.0
27128.754442397745,45352.0
27570.97725089867,50391.0
27123.73661711268,55430.0
27111.212575858175,60469.0
25957.678350666178,65508.0
26332.747016648573,70547.0
27264.350726873497,75586.0
27670.30160531117,80625.0
27634.195976325747,85664.0
27036.62634223769,90703.0
27354.257635987113,95742.0
27964.132638766972,100781.0
27344.390951928035,105820.0
27760.712602828557,110859.0
27465.55401007559,115898.0
27383.948005069848,120937.0
27391.605588376846,125976.0
27618.484631675838,131015.0
27788.299874987417,136054.0
27337.250937053825,141093.0
27143.2639995014,146132.0
26969.131645256337,151171.0
26613.44127753025,156210.0
26701.985172264347,161249.0
26888.41578100251,166288.0
26888.539462086417,171327.0
26640.000883811354,176366.0
