"Utility","tick"
3821865.602590126,270.0
3877175.3618152975,990.0
3790903.932754313,1710.0
3849116.2810759568,2430.0
3835784.1568352776,3150.0
3175163.5470914887,3870.0
3183894.1624535676,4590.0
3882110.2858132226,5310.0
3876059.1528825955,6030.0
3868634.710411915,6750.0
3800314.27498448,7470.0
3736666.7026774464,8190.0
3157418.5572846686,8910.0
3224348.5801828573,9630.0
3872008.8031698433,10350.0
3809585.899233634,11070.0
3786849.7822388997,11790.0
3860819.9570312556,12510.0
3810792.538082844,13230.0
3196597.1558141373,13950.0
3239492.5048650997,14670.0
3864316.845368886,15390.0
3757921.318139558,16110.0
3796157.490341185,16830.0
3979197.489138109,17550.0
3790063.77647257,18270.0
3188961.752473677,18990.0
3190761.0430715703,19710.0
3925021.9717105418,20430.0
3773688.8785342234,21150.0
3830740.0968936607,21870.0
3913592.8138519637,22590.0
3911182.0083112083,23310.0
3171310.668770171,24030.0
3221252.1896038847,24750.0
3779556.2331556072,25470.0
3768352.6339618117,26190.0
3913544.889347713,26910.0
3845903.716972253,27630.0
3804143.8237868384,28350.0
3198499.2698292504,29070.0
3179136.6861703717,29790.0
3729093.5478284955,30510.0
3914518.788163448,31230.0
3751915.164484669,31950.0
3728858.3081782353,32670.0
3794321.6915407362,33390.0
3155708.6510373973,34110.0
3215477.7565271994,34830.0
3781321.941391585,35550.0
3884844.4290115093,36270.0
3812590.8507102737,36990.0
3880868.8018360133,37710.0
3912692.2688975534,38430.0
3121916.0032488247,39150.0
3154150.6427572183,39870.0
3874396.183138753,40590.0
3800416.2213044027,41310.0
3815452.215164133,42030.0
3791196.145294846,42750.0
3766450.1276107943,43470.0
3145980.5344970888,44190.0
3194706.269734221,44910.0
3764719.213021559,45630.0
3833484.157914203,46350.0
3848205.5098080165,47070.0
3858463.7677500146,47790.0
3879497.8643771154,48510.0
3142164.2095107245,49230.0
3208676.5443827542,49950.0
3772141.343776658,50670.0
3802501.032041362,51390.0
3808086.481287239,52110.0
3787405.1175136487,52830.0
3936296.0795164956,53550.0
3158056.2100029923,54270.0
3220706.5060681095,54990.0
3752518.0801728754,55710.0
3824389.01906869,56430.0
3874248.6470363652,57150.0
3810394.0775302174,57870.0
3755121.9226222867,58590.0
3126865.8995907675,59310.0
3181204.1528601977,60030.0
3838207.3451571176,60750.0
3849690.9338370473,61470.0
3825555.2270077835,62190.0
3834678.616905954,62910.0
3810153.058992693,63630.0
3214222.4038917855,64350.0
3231381.939254765,65070.0
3801596.853157209,65790.0
3794997.6759899557,66510.0
3844554.966780185,67230.0
3858929.466392181,67950.0
3880662.558377023,68670.0
3178244.488886209,69390.0
3139129.922597934,70110.0
3766093.854850768,70830.0
3844437.758279951,71550.0
3767398.159368472,72270.0
3812336.863891774,72990.0
3734388.085009833,73710.0
3185110.0524188937,74430.0
3197536.7152549042,75150.0
3802860.783220346,75870.0
3805471.7597972946,76590.0
3801281.1349608153,77310.0
3742277.042741495,78030.0
3797227.2530797697,78750.0
3161113.4546441147,79470.0
3199465.54003555,80190.0
3684385.437656637,80910.0
3804373.529692001,81630.0
3815551.320128096,82350.0
3796814.8238655934,83070.0
3770433.0868305266,83790.0
3164386.5177677027,84510.0
3181416.6364498376,85230.0
3804249.0857914835,85950.0
3882838.0984286685,86670.0
3883831.903466284,87390.0
3833358.345484641,88110.0
3783441.728735946,88830.0
3129519.586007479,89550.0
3208511.425543443,90270.0
3762095.128489776,90990.0
3719165.2851451146,91710.0
3872531.830535496,92430.0
3884046.5789091666,93150.0
3799229.2960651964,93870.0
3188186.1997451116,94590.0
3183192.8383474573,95310.0
3826672.030709873,96030.0
3861740.1709721745,96750.0
3865043.1011069836,97470.0
3870054.454286193,98190.0
3784397.194292763,98910.0
3190290.8958324436,99630.0
3163826.2096997853,100350.0
3867695.7394511993,101070.0
3808520.506200474,101790.0
3749774.4561250242,102510.0
3835625.2788508427,103230.0
3843872.951451392,103950.0
3195243.9274394405,104670.0
3153371.769960258,105390.0
3790793.3150898376,106110.0
3729596.2217190065,106830.0
3766390.1325175213,107550.0
3826169.4325241363,108270.0
3728264.2974753035,108990.0
3184332.680325112,109710.0
3168437.5724076736,110430.0
3857979.8176091937,111150.0
3781448.0982781462,111870.0
3850702.669422637,112590.0
3871330.276933191,113310.0
3860492.2528970754,114030.0
3155235.682971408,114750.0
3204371.035148914,115470.0
3875107.8109201267,116190.0
3821523.3744996767,116910.0
3738313.5745948036,117630.0
3874894.4058567667,118350.0
3789790.1154862717,119070.0
3127623.5029964135,119790.0
3208838.9103247724,120510.0
3820695.8153425986,121230.0
3825540.6390448543,121950.0
3763280.5903908852,122670.0
3800438.7320847753,123390.0
3835563.479486523,124110.0
3133522.0025469596,124830.0
3156257.205946799,125550.0
3799037.4599978495,126270.0
3764178.835433875,126990.0
3787993.9253269634,127710.0
3769475.248178479,128430.0
3749095.741221427,129150.0
3158337.7458838345,129870.0
3214176.052260977,130590.0
3795476.2774900035,131310.0
3830729.1847006553,132030.0
3830120.9592670565,132750.0
3757977.708063726,133470.0
3865101.217291327,134190.0
3238333.3913776884,134910.0
3203632.6979126693,135630.0
3872556.715828298,136350.0
3846699.4555831794,137070.0
3857484.998653128,137790.0
3749646.3963300167,138510.0
3790117.790872828,139230.0
3137871.7123607444,139950.0
3219681.2268593414,140670.0
3799527.482555493,141390.0
3773911.383837726,142110.0
3781825.275178959,142830.0
3827763.1806957223,143550.0
3859712.4463026365,144270.0
3173568.451938091,144990.0
3242297.3964085076,145710.0
3808815.670445211,146430.0
3843147.7317601056,147150.0
3807760.033906928,147870.0
3795418.6027374123,148590.0
3848793.789018651,149310.0
3114389.65465019,150030.0
3132188.000461246,150750.0
3717299.3760518497,151470.0
3775604.8415130246,152190.0
3886656.788820489,152910.0
3856065.541497954,153630.0
3742439.0247731577,154350.0
3225625.5947027677,155070.0
3164234.7523070425,155790.0
3820988.4327517105,156510.0
3817858.824781626,157230.0
3797686.746154083,157950.0
3787357.102836895,158670.0
3807419.6755449,159390.0
3212850.748999716,160110.0
3139343.0183608495,160830.0
3795924.9351002583,161550.0
3826803.0571569884,162270.0
3814343.7472286574,162990.0
3780790.816743829,163710.0
3918117.3582428843,164430.0
3138468.137592629,165150.0
3174813.327131986,165870.0
3805250.2160050822,166590.0
3932575.404930968,167310.0
3868064.5063362857,168030.0
3780467.824727271,168750.0
3826549.020556091,169470.0
3178074.9087854256,170190.0
3165213.448281231,170910.0
3831356.697130222,171630.0
3887351.8402266507,172350.0
3812162.907254965,173070.0
3836634.9638081337,173790.0
3753928.469114306,174510.0
3142220.0238074446,175230.0
3218652.3939203676,175950.0
