"Park Revenue","tick"
0.0,1.0
0.0,5040.0
57029.19964642733,10079.0
57242.802393221704,15118.0
57224.17578360851,20157.0
56826.6409955219,25196.0
57497.5238438995,30235.0
57153.0728951658,35274.0
56498.57917936175,40313.0
56944.52106760812,45352.0
56753.825963739204,50391.0
56223.51388945934,55430.0
55902.971397833855,60469.0
54593.810857646924,65508.0
56784.38084406267,70547.0
57801.14256044767,75586.0
59121.464881468186,80625.0
58980.20948502419,85664.0
59712.91719458115,90703.0
58897.776517219354,95742.0
58888.01229431104,100781.0
58619.768861664976,105820.0
58606.199606432834,110859.0
58382.6640559019,115898.0
57785.17215694677,120937.0
58111.345149113884,125976.0
57469.797514158956,131015.0
56641.49194436331,136054.0
56598.01199082533,141093.0
57708.17592762228,146132.0
57785.461841777294,151171.0
58014.51627745096,156210.0
57442.26512754807,161249.0
57378.61942218113,166288.0
57826.70437275952,171327.0
57307.89185933078,176366.0
