"Utility","tick"
1904484.3890644154,270.0
1873309.9696624551,990.0
1920781.1866543975,1710.0
1952005.1494687942,2430.0
1833303.9462735527,3150.0
1610332.8710278133,3870.0
1607130.0864008064,4590.0
1936760.7391773716,5310.0
1951855.2281936512,6030.0
1870806.0568085804,6750.0
1915977.2354852376,7470.0
1887547.8347585783,8190.0
1599331.0512545118,8910.0
1574162.852269692,9630.0
1894326.6837316588,10350.0
1990910.3802180241,11070.0
1870607.3144026333,11790.0
1886289.0070964545,12510.0
1906674.3538695837,13230.0
1591183.28978114,13950.0
1569394.251881366,14670.0
1898581.9706446019,15390.0
1974127.2247755448,16110.0
1861883.925519679,16830.0
1981807.5167520582,17550.0
1890337.1222891007,18270.0
1583739.2091890716,18990.0
1598156.180396628,19710.0
1877323.4420083729,20430.0
1942939.8827936256,21150.0
1929886.196915925,21870.0
1903657.2844800453,22590.0
1894373.338584485,23310.0
1584533.5642961778,24030.0
1588762.4249718918,24750.0
1920679.2947942289,25470.0
1899574.930757896,26190.0
1902600.1956813787,26910.0
1900150.917447091,27630.0
1881299.867537779,28350.0
1584145.9108886358,29070.0
1553960.9444000788,29790.0
1885314.6036843956,30510.0
1928176.5077174671,31230.0
1876742.0236006547,31950.0
1893770.7131137487,32670.0
1954802.8488797913,33390.0
1591276.2072714048,34110.0
1584322.244738094,34830.0
1856862.45816762,35550.0
1899553.9448851459,36270.0
1912839.0999921255,36990.0
1911883.6206598745,37710.0
1929642.7888507722,38430.0
1607802.1648786408,39150.0
1599049.0710685465,39870.0
1884750.287965445,40590.0
1883324.7695078307,41310.0
1899777.3002352607,42030.0
1922176.7793796314,42750.0
1936071.718260512,43470.0
1613116.9207823733,44190.0
1586210.8547886873,44910.0
1908089.007164111,45630.0
1919977.288603461,46350.0
1929840.120762873,47070.0
1969842.9824179339,47790.0
1885445.837060962,48510.0
1545351.7007601869,49230.0
1606228.5552696616,49950.0
1912061.9617382681,50670.0
1960173.9458296176,51390.0
1914676.8403136532,52110.0
1939581.1037014683,52830.0
1944766.7648672035,53550.0
1560381.8647276924,54270.0
1556504.1561731505,54990.0
1921009.9333592174,55710.0
1924419.484497936,56430.0
1872100.936065226,57150.0
1967073.1320034994,57870.0
1989551.881600824,58590.0
1632600.830216368,59310.0
1602159.019399858,60030.0
1936694.278254621,60750.0
1916393.037556662,61470.0
1874348.9804285537,62190.0
1940091.8873853348,62910.0
1889048.804154528,63630.0
1600085.9315792185,64350.0
1630696.9581914665,65070.0
1933183.684359254,65790.0
1950187.3404589135,66510.0
1888354.806959596,67230.0
1969869.5421180797,67950.0
1947734.2612964576,68670.0
1608741.7526766362,69390.0
1587904.0049055845,70110.0
1900229.76770273,70830.0
1942767.9042687237,71550.0
1899563.8573945647,72270.0
1962091.8410889478,72990.0
1928940.4187004906,73710.0
1605497.1964321074,74430.0
1592172.9877020963,75150.0
1935214.7116255865,75870.0
1937883.4149468068,76590.0
1889423.803658128,77310.0
