"Utility","tick"
3837088.31641658,270.0
3773760.407991926,990.0
3799890.265498968,1710.0
3812940.407962223,2430.0
3782560.8331704573,3150.0
3189198.3940153243,3870.0
3177326.9100782904,4590.0
3911854.0244714427,5310.0
3866489.654247294,6030.0
3891164.0487312027,6750.0
3792347.858520515,7470.0
3772783.140580364,8190.0
3157155.895934196,8910.0
3203482.0440255823,9630.0
3877003.455925044,10350.0
3881280.2534404914,11070.0
3817060.469128596,11790.0
3738170.109275145,12510.0
3815584.822838666,13230.0
3179778.2993533416,13950.0
3233091.253922524,14670.0
3867517.923511341,15390.0
3863867.7398599605,16110.0
3834079.643022499,16830.0
3997694.8444278953,17550.0
3802175.213389388,18270.0
3182061.4226343106,18990.0
3193987.6576101533,19710.0
3855596.721068957,20430.0
3837944.8867997937,21150.0
3869415.829745203,21870.0
3847144.570672027,22590.0
3886141.829950547,23310.0
3195461.4559631897,24030.0
3228173.0160783855,24750.0
3801799.8988576583,25470.0
3850040.792871641,26190.0
3910189.701340909,26910.0
3784566.519753468,27630.0
3815550.1284905975,28350.0
3176136.0565700736,29070.0
3175269.308378845,29790.0
3786036.1068272046,30510.0
3857895.9446100174,31230.0
3727166.7209166912,31950.0
3832724.38991088,32670.0
3824767.868038845,33390.0
3162459.7397985277,34110.0
3207423.512554442,34830.0
3787766.771948593,35550.0
3869060.670106191,36270.0
3766249.25195162,36990.0
3773496.4147475464,37710.0
3812490.2388922963,38430.0
3143454.4004170727,39150.0
3143214.6779069616,39870.0
3849565.6972936946,40590.0
3822392.070252479,41310.0
3788500.513842889,42030.0
3793169.0575864534,42750.0
3769709.3652034183,43470.0
3143440.9566086316,44190.0
3205184.495655964,44910.0
3778705.6797117977,45630.0
3822912.952140067,46350.0
3859366.07624725,47070.0
3892358.247757271,47790.0
3811286.755518918,48510.0
3158922.2194109657,49230.0
3194307.442250663,49950.0
3865947.7672413094,50670.0
3815608.9409177224,51390.0
3791869.7704621246,52110.0
3831433.560853769,52830.0
3931237.7230567825,53550.0
3154486.481481655,54270.0
3227144.9528436996,54990.0
3781070.495733261,55710.0
3820770.900683099,56430.0
3850552.557273613,57150.0
3706457.896208426,57870.0
3742426.2977289218,58590.0
3117397.943856889,59310.0
3195541.058371316,60030.0
3884308.3009714577,60750.0
3871347.3425021432,61470.0
3853984.5218048175,62190.0
3822223.7254834985,62910.0
3783499.340972099,63630.0
3211689.74814372,64350.0
3208687.2199730054,65070.0
3836286.71626972,65790.0
3829389.4766783933,66510.0
3801911.229442117,67230.0
3731344.9627215834,67950.0
3813997.5211327258,68670.0
3174211.452877878,69390.0
3135506.946714038,70110.0
3743449.6842262773,70830.0
3749496.7212935467,71550.0
3829049.785861248,72270.0
3795211.3356086365,72990.0
3804418.1784142386,73710.0
3176643.2405126863,74430.0
3211544.446778479,75150.0
3778235.7669328996,75870.0
3794807.7486179415,76590.0
3801872.80676249,77310.0
3796207.379051192,78030.0
3867404.1011226852,78750.0
3177208.8640687657,79470.0
3199407.3323048395,80190.0
3871121.626830772,80910.0
3858417.5003071376,81630.0
3801492.821242948,82350.0
3830409.6301602563,83070.0
3775118.496159498,83790.0
3165180.7746097655,84510.0
3194485.457596436,85230.0
3822032.9025377883,85950.0
3873709.1247800076,86670.0
3803117.7063309355,87390.0
3767194.1677619396,88110.0
3750856.7125230287,88830.0
3123769.8374510542,89550.0
3190489.36871334,90270.0
3789205.5814335463,90990.0
3769611.372288628,91710.0
3873905.185401412,92430.0
3874320.759103281,93150.0
3820891.4519554144,93870.0
3169774.4044887437,94590.0
3160081.9612332107,95310.0
3886653.740173235,96030.0
3804144.3769768504,96750.0
3822661.791543261,97470.0
3789442.694573454,98190.0
3853065.9413160835,98910.0
3194476.402746106,99630.0
3173865.08467863,100350.0
3769188.704279102,101070.0
3744184.3018001453,101790.0
3733645.627750014,102510.0
3831402.217956535,103230.0
3793747.312474717,103950.0
3170597.723896348,104670.0
3167681.0585934413,105390.0
3812865.007929127,106110.0
3780120.6428335984,106830.0
3741377.3494910654,107550.0
3851952.8367632087,108270.0
3770342.711566103,108990.0
3200044.957404464,109710.0
3146591.61274119,110430.0
3802460.020458943,111150.0
3894518.878670056,111870.0
3740268.285523822,112590.0
3841699.9399100435,113310.0
3840703.2695708135,114030.0
3168109.5577863664,114750.0
3212488.0322952117,115470.0
3886402.1312814318,116190.0
3819716.964997869,116910.0
3806640.890443441,117630.0
3800557.532774472,118350.0
3754033.010349117,119070.0
3159233.896872226,119790.0
3191205.584450365,120510.0
3837986.8228758695,121230.0
3898901.8529558973,121950.0
3869669.628940286,122670.0
3786788.691141767,123390.0
3869034.897458906,124110.0
3144502.2627130463,124830.0
3152035.4071896705,125550.0
3839592.6160743395,126270.0
3791030.9340723567,126990.0
3771751.781954712,127710.0
3766465.4675658043,128430.0
3745363.2969624912,129150.0
3136312.086833486,129870.0
3184907.6777719725,130590.0
3799518.5321587333,131310.0
3743573.5564000783,132030.0
3863064.176742493,132750.0
3793697.0331522087,133470.0
3861197.2158586457,134190.0
3211279.735660563,134910.0
3216547.2221146952,135630.0
3789536.34089446,136350.0
3790997.123316989,137070.0
3789413.087190157,137790.0
3727038.1790571073,138510.0
3741027.8825922664,139230.0
3177222.790733928,139950.0
3210590.7939330926,140670.0
3870873.283032111,141390.0
3806103.322655689,142110.0
3840992.9311967306,142830.0
3871796.968957293,143550.0
3881570.72828501,144270.0
3198020.227781834,144990.0
3200089.101124584,145710.0
3822444.754947405,146430.0
3827731.088506929,147150.0
3749750.840483534,147870.0
3833010.473340425,148590.0
3865546.6019888306,149310.0
3121702.4726271965,150030.0
3170549.2358502075,150750.0
3785392.9770199102,151470.0
3809215.689709967,152190.0
3702569.2377078217,152910.0
3824952.013773708,153630.0
3861655.772109327,154350.0
3199682.5294123734,155070.0
3146694.4511267543,155790.0
3772463.645671791,156510.0
3842183.968194686,157230.0
3803644.424534511,157950.0
3824335.73891813,158670.0
3741076.6381942444,159390.0
3209073.0587688666,160110.0
3128563.80884949,160830.0
3891707.793410881,161550.0
3775427.143594388,162270.0
3749450.8521969216,162990.0
3762790.3121662172,163710.0
3906086.591355327,164430.0
3175279.1423968617,165150.0
3153780.987165375,165870.0
3855949.2733075744,166590.0
3887839.981324373,167310.0
3765491.386636944,168030.0
3817467.015212555,168750.0
3851401.8853249126,169470.0
3198274.7793441615,170190.0
3137279.8143847473,170910.0
3814114.0551431393,171630.0
3854441.111371378,172350.0
3867970.4579082327,173070.0
3714077.0262320517,173790.0
3842828.4425671767,174510.0
3147250.770371241,175230.0
3211375.6502306717,175950.0
