"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37843.44082390215,10079.0
37583.233114509334,15118.0
37373.52781135496,20157.0
37493.17469526294,25196.0
37702.4233245129,30235.0
37961.0961490355,35274.0
37865.47393574316,40313.0
38160.155634322764,45352.0
37413.59714910329,50391.0
37880.60095482882,55430.0
37604.38255818487,60469.0
37802.64099884898,65508.0
37998.34949646773,70547.0
37797.685188886215,75586.0
37801.98564511851,80625.0
37577.11325391517,85664.0
37600.682855290135,90703.0
37535.16549335908,95742.0
38075.546652555306,100781.0
37630.1077240714,105820.0
37668.521494475484,110859.0
37645.60053607912,115898.0
37860.473489273754,120937.0
37490.64689112107,125976.0
37739.20140753353,131015.0
37680.98709057041,136054.0
37843.44956736655,141093.0
37929.504497794296,146132.0
37258.24147444344,151171.0
37651.99669853654,156210.0
37774.177752873366,161249.0
37998.656592655134,166288.0
37715.91495892247,171327.0
38036.69803238051,176366.0
