"Park Revenue","tick"
0.0,1.0
0.0,5040.0
38481.49116467341,10079.0
37694.077681063914,15118.0
31677.85521292195,20157.0
21745.546286745488,25196.0
17869.60338946499,30235.0
17825.334084197744,35274.0
17799.26589787073,40313.0
17807.549326260076,45352.0
17707.42481093976,50391.0
17727.047253203793,55430.0
17832.80248321505,60469.0
17768.102229002725,65508.0
17757.82115368859,70547.0
18906.87446195177,75586.0
18745.288583953552,80625.0
18965.19053818086,85664.0
18633.247539510772,90703.0
19086.806658433874,95742.0
19727.57131095722,100781.0
19839.57615121102,105820.0
19758.68111135073,110859.0
19751.514649359084,115898.0
19812.308575898987,120937.0
20153.591664849424,125976.0
20073.891081548583,131015.0
19916.490056876974,136054.0
19769.793698474474,141093.0
20856.251804748048,146132.0
22625.189384683636,151171.0
24163.806823384548,156210.0
24366.86082024612,161249.0
24057.94223992844,166288.0
24303.636250606243,171327.0
24234.678448328676,176366.0
