"Park Revenue","tick"
0.0,1.0
0.0,5040.0
38126.30731134234,10079.0
38211.82604647977,15118.0
37733.60258328797,20157.0
37865.06322621368,25196.0
37658.20873333428,30235.0
37535.03962236181,35274.0
37572.20984079825,40313.0
37769.835366182924,45352.0
37876.16032943728,50391.0
37328.87653953399,55430.0
37287.636771882426,60469.0
37323.175923251816,65508.0
37612.718257675304,70547.0
37751.96125310709,75586.0
37197.30343617455,80625.0
37751.23984875777,85664.0
37558.4282945664,90703.0
37755.0401917061,95742.0
37668.06402280567,100781.0
37509.63934906517,105820.0
37509.80190100542,110859.0
37397.74068901541,115898.0
37896.378506740235,120937.0
37721.940582903306,125976.0
37440.62075016235,131015.0
37539.0610383105,136054.0
37992.07703992386,141093.0
37671.65700596241,146132.0
37554.66887722532,151171.0
37842.859408502045,156210.0
37896.18571921085,161249.0
37046.21438085186,166288.0
37442.26876465144,171327.0
37536.09905003743,176366.0
