"Park Revenue","tick"
0.0,1.0
0.0,5040.0
80019.92497185478,10079.0
78897.7426437173,15118.0
55346.88911530774,20157.0
36025.12539679953,25196.0
38903.425776579534,30235.0
38869.84922385017,35274.0
38852.101687719296,40313.0
38555.65013979447,45352.0
38266.669192156725,50391.0
38825.9178243805,55430.0
38789.11000478319,60469.0
38752.707019014946,65508.0
39107.658673266626,70547.0
39659.796488666325,75586.0
40595.70193466115,80625.0
40715.429006914695,85664.0
40907.67159346323,90703.0
41290.29947564386,95742.0
40554.08370930486,100781.0
40907.2389985671,105820.0
40875.13423470636,110859.0
40529.66775200881,115898.0
41169.31670936845,120937.0
40899.98234258975,125976.0
41041.77740544841,131015.0
40997.31540453537,136054.0
40818.76575716631,141093.0
42304.510431777206,146132.0
45339.61722604216,151171.0
48438.44133835244,156210.0
48504.78312656995,161249.0
48547.99896577282,166288.0
48789.71513886643,171327.0
48911.25463483237,176366.0
