"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37808.490160970294,10079.0
37925.922609456546,15118.0
37919.2237533729,20157.0
37840.25429622377,25196.0
37611.356925748885,30235.0
37640.42649459919,35274.0
38258.75357683636,40313.0
37464.997779144076,45352.0
37801.063209334505,50391.0
37690.126085505755,55430.0
37682.464809595185,60469.0
37513.41863616296,65508.0
37579.984729129996,70547.0
37872.982671569815,75586.0
37409.239328028765,80625.0
37751.28564115115,85664.0
37593.33382975712,90703.0
38083.29772378958,95742.0
37590.79110500608,100781.0
37482.67611308953,105820.0
37688.97146605064,110859.0
37545.240996135864,115898.0
37400.24303509378,120937.0
37729.75517771655,125976.0
37686.20252535502,131015.0
37712.196008664476,136054.0
37246.61014842722,141093.0
37736.97157690572,146132.0
37442.48448095115,151171.0
37522.61139060258,156210.0
37528.90220418978,161249.0
37792.20294682639,166288.0
37695.48303742967,171327.0
38076.080342190515,176366.0
